Name,Behavior,Top Speed,Body,Natural Habitat,Lifestyle
Shetland Sheep Dog,"They usually live in packs. Their temperament can be characterized as bright, energetic, loyal, affectionate, intelligent and playful.Their aggression level is low.",,This animal has hair.Its body can be multi-colored.,,It has a pack lifestyle.
Shiba Inu Mix,,,,,
Shiba Inu,,,,,
Shichi,They can be characterized as solitary.Their aggression level is medium.,,This animal has fur.Its body can be multi-colored.,,It has a diurnal lifestyle.
Shih Poo,,,,,
Shih Tzu Mix,,,"This animal has fur.Its body can be brindle, gold, black, red, blue, brown and silver.",,
Shih Tzu,,,,,
Shikoku,"They usually live in packs. Their temperament can be characterized as alert, energetic and enthusiastic.Their aggression level is medium.",,"This animal has hair.Its body can be black, red, black-brown, cream and tan.",,It has a pack lifestyle.
Shiloh Shepherd,,,,,
Shiranian,They can be characterized as social.Their aggression level is low.,,"This animal has fur.Its body can be brindle, black, white, red and brown.",,It has a diurnal lifestyle.
Shoebill Stork,,48.2802,"This animal has feathers.Its body can be yellow, blue and grey.",This animal's natural habitat is wetlands.,
Shollie,,,"This animal has hair.Its body can be gold, black, white and brown.",,
Short Eared Owl,,,"This animal has feathers.Its body can be black, yellow, white and brown.","This animal's natural habitat is prairies, coastal grasslands and meadows,.",It has a nocturnal lifestyle.
Short Faced Bear,,,,,
Shortfin Mako Shark,They can be characterized as solitary. Their temperament can be characterized as aggressive.Their aggression level is high.,69.20162,This animal has scales.Its body can be blue and purple.,This animal's natural habitat is tropical and temperate waters at depths of 400 feet.,
Shrew,,12.87472,"This animal has fur.Its body can be black, brown and grey.","This animal's natural habitat is gardens, burrows, near small bodies of water in temperate, subtropical and tropical climates.",
Shrimp,,,"This animal has a shell.Its body can be dark, pink, red and grey.",This animal's natural habitat is all water regions around the world.,
Siamese Fighting Fish,,,This animal has scales.Its body can be multi-colored.,"This animal's natural habitat is marshes, flood plains and paddy fields.",
Siamese,,,"This animal has hair.Its body can be black, white, lilac, blue, brown, cream and grey.",,
Siberian Husky,,,,,
Siberian Ibex,,70.00628999999999,"This animal has hair.Its body can be black, brown and grey.","This animal's natural habitat is mountains, rocky, semi-arid places and alpine meadows.",
Siberian Retriever,,,"This animal has hair.Its body can be gold, black, chocolate, white and tan.",,
Siberian Tiger,,96.5604,"This animal has fur.Its body can be orange, black and white.",This animal's natural habitat is dense tropical forest.,It has a solitary lifestyle.
Siberian,,,"This animal has hair.Its body can be black, fawn, white, golden, lilac, blue, brown and cream.",,
Siberpoo,,,,,
Sichuan Takin Tibetan Takin,,,"This animal has hair.Its body can be dark, blonde, brown and light-brown.","This animal's natural habitat is mostly forested areas at elevations from 4,000 to 14,000 feet.",It has a diurnal and herd lifestyle.
Sidewinder,,,,,It has a nocturnal lifestyle.
Sika Deer,They usually live in herds and can be characterized as solitary. Their temperament can be characterized as not aggressive.Their aggression level is low.,48.2802,"This animal has fur.Its body can be chestnut, white, brown and grey.",This animal's natural habitat is temperate and sub-tropical forests.,It has a nocturnal lifestyle.
Silken Windhound,,,This animal has fur.Its body can be multi-colored.,,
Silkie Chicken,,,"This animal has feathers.Its body can be black, white, blue and grey.",This animal's natural habitat is farm and yards.,
Silky Shark,They can be characterized as territorial and solitary. Their temperament can be characterized as aggressive.Their aggression level is medium.,59.54558,"This animal's skin is smooth.Its body can be white, blue and grey.",This animal's natural habitat is pelagic zone.,It has a sociable and solitary lifestyle.
Silky Terrier,,,"This animal has hair.Its body can be black, blue, tan, silver and grey.",,
Silver Dollar,,,This animal has scales.Its body can be silver.,This animal's natural habitat is tropical well-vegetated rivers.,
Silver Labrador,,,This animal has hair.Its body can be silver and grey.,,
Simbakubwa,,,,,
Sinosauropteryx,,,"This animal has feathers.Its body can be orange, black and brown.",,
Sivatherium,,,,"This animal's natural habitat is foodplains, woodlands and and savannah grasslands.",
Six Eyed Sand Spiders,They can be characterized as solitary.Their aggression level is low.,3.21868,"This animal has an exoskeleton.Its body can be dark, yellow, red and brown.",This animal's natural habitat is deserts.,It has a solitary lifestyle.
Sixgill Shark,,,"This animal's skin is rough.Its body can be black, green, white, brown and grey.",This animal's natural habitat is oceans.,
Skate Fish,,,This animal has hair.Its body can be brown.,This animal's natural habitat is generally found in along continental shelfs.,
Skeleton Tarantula,They can be characterized as solitary. Their temperament can be characterized as cranky and aggressive.Their aggression level is high.,,"This animal has bristled hairs.Its body can be dark, blonde, white and brown.",This animal's natural habitat is tropical forest.,It has a nocturnal lifestyle.
Skink Lizard,,104.6071,"This animal has scales.Its body can be green, red, orange, brown and grey.",This animal's natural habitat is varies depending on species.,
Skipjack Tuna,,64.3736,This animal's skin is smooth.Its body can be silver and blue.,This animal's natural habitat is oceans.,
Skua,,80.467,"This animal has feathers.Its body can be white, brown and grey.",This animal's natural habitat is coastlines and coastal moors.,It has a diurnal lifestyle.
Skunk,,16.0934,"This animal has fur.Its body can be black, white and grey.",This animal's natural habitat is open woodland and dense shrub.,It has a solitary lifestyle.
Skye Terrier,,,"This animal has hair.Its body can be black, fawn, light, dark, blue and grey.",,
Sleeper Shark,,2.5749440000000003,"This animal has scales.Its body can be light-brown, white, blue and grey.",This animal's natural habitat is oceans.,
Sloth,,24.1401,"This animal has fur.Its body can be tan, white, brown and grey.",This animal's natural habitat is tall trees in tropical rainforest.,It has a solitary lifestyle.
Slovak Cuvac,,,,,
Slow Worm,,0.48280199999999995,"This animal has scales.Its body can be black, yellow, brown, tan and grey.",This animal's natural habitat is grassland and woodlands.,It has a solitary lifestyle.
Slug,,0.3057746,"This animal's skin is smooth.Its body can be black, green, brown and grey.","This animal's natural habitat is gardens, foliage, wood and debris.",
Smallmoth Bass,They can be characterized as solitary.Their aggression level is medium.,,"This animal has scales.Its body can be dark, green, olive, brown and dull.",,It has a diurnal lifestyle.
Smilosuchus,,,,This animal's natural habitat is swampy land near streams.,
Smokybrown Cockroach,,4.82802,This animal has an exoskeleton.Its body can be black and brown.,,It has a nocturnal lifestyle.
Smooth Earth Snake,They can be characterized as solitary except during mating season.Their aggression level is low.,,This animal has scales.Its body can be fawn and brown.,,It has a crepuscular and nocturnal lifestyle.
Smooth Fox Terrier,,,"This animal has hair.Its body can be tan, black, white and brown.",,
Smooth Green Snake,They usually live in groups and can be characterized as solitary.Their aggression level is low.,,,"This animal's natural habitat is grasslands, meadows, marshes and and open woodlands.",It has a diurnal lifestyle.
Smooth Hammerhead Shark 2,They usually live in groups and can be characterized as solitary.Their aggression level is high.,,"This animal has scales.Its body can be black, white, olive, brown and grey.",This animal's natural habitat is shallow and temperate waters.,"It has a diurnal, group and solitary lifestyle."
Smooth Snake,,,,,
Snail,,,This animal has a shell.Its body can be tan and yellow.,This animal's natural habitat is well-vegetated areas.,
Snailfish,,,This animal has skin.Its body can be multi-colored.,"This animal's natural habitat is ocean trenches, shores and hadal zone.",
Snake,,32.1868,,,It has a solitary lifestyle.
Snapping Turtle,,3.8624159999999996,"This animal has scales.Its body can be tan, black and brown.","This animal's natural habitat is slow rivers, lakes and marshland.",It has a solitary lifestyle.
Snook Fish,,,This animal has scales.Its body can be grey.,,
Snorkie,,16.0934,This animal has fur.Its body can be multi-colored.,This animal's natural habitat is domesticated.,It has a social and pack lifestyle.
Snouted Cobra,,,"This animal has scales.Its body can be blue, yellow and brown.",,
Snow Bunting,They usually live in pairs and can be characterized as solitary.Their aggression level is low.,,"This animal has feathers.Its body can be black, white and brown.","This animal's natural habitat is open fields, shorelines and roadsides.",
Snow Crab,,,,,
Snow Goose,,,,"This animal's natural habitat is lakes, rivers, ponds, open fields, pastures and and coastal shores..",It has a flock lifestyle.
Snow Leopard,,,This animal has fur.Its body can be white and grey.,This animal's natural habitat is mountains.,
Snowberry Clearwing Moth,,,,This animal's natural habitat is north america.,
Snowflake Eel,They can be characterized as mainly solitary. Their temperament can be characterized as aggressive when eating.Their aggression level is high.,,"This animal has skin.Its body can be black, yellow and brown.",This animal's natural habitat is saltwater.,It has a nocturnal lifestyle.
Snowshoe Hare,,,,"This animal's natural habitat is forests, open fields and riverside thickets.",
Snowshoe,,,"This animal has hair.Its body can be black, fawn, white, golden, lilac, cream and brown.",,
Snowy Owl,,80.467,"This animal has feathers.Its body can be black, white and grey.",This animal's natural habitat is woodland within the arctic tundra.,It has a solitary lifestyle.
Sockeye Salmon,,,,This animal's natural habitat is ocean and tributaries.,
Soldier Beetle,They usually live in pairs and can be characterized as solitary.Their aggression level is low.,,,"This animal's natural habitat is high humidity areas with abundance of leaf litter, plant debris and and loose soil.",It has a diurnal lifestyle.
Somali,,,"This animal has hair.Its body can be black, fawn, ginger, white, golden, cream and brown.",,
Song Sparrow,,48.2802,"This animal has feathers.Its body can be chestnut, white, brown and grey.","This animal's natural habitat is shrubs, gardens and woodlands.",
Song Thrush 2,,56.3269,,"This animal's natural habitat is woods, temperate forests, scrub, shrublands, mountains, farms, gardens and parks.",
South China Tiger,,96.5604,"This animal has fur.Its body can be orange, black and white.",This animal's natural habitat is dense tropical forest.,It has a solitary lifestyle.
Southeastern Blueberry Bee,They can be characterized as solitary. Their temperament can be characterized as mild.Their aggression level is low.,,"This animal has an exoskeleton.Its body can be gold, black, yellow, orange and cream.",This animal's natural habitat is subterranean burrows near blueberry plants.,It has a diurnal lifestyle.
Southern Black Racer,,,,,
Southern Flannel Moth,They can be characterized as solitary except during mating season. Their temperament can be characterized as docile and solitary.Their aggression level is low.,,"This animal has an exoskeleton.Its body can be black, white, orange, cream and brown.","This animal's natural habitat is commonly found in wooded areas, such as deciduous forests, but can also be found in urban, suburban environments in u.s. gulf coast states and mexico..",It has a diurnal lifestyle.
Southern Hognose Snake,,,"This animal has scales.Its body can be dark, red, brown, tan and grey.",,
Southern House Spider,,4.82802,"This animal has an exoskeleton.Its body can be tan, brown and grey.","This animal's natural habitat is homes, sheds, porches and forests.",It has a solitary lifestyle.
Southern Pacific Rattlesnake,They can be characterized as solitary.Their aggression level is medium.,,"This animal has scales.Its body can be dark, black, brown and grey.","This animal's natural habitat is scrub brush, coastal sage and rocky hills.","It has a season, crepuscular and nocturnal lifestyle."
Spadefoot Toad,,16.0934,"This animal has permeable scales.Its body can be tan, brown and grey.",This animal's natural habitat is marshland prairies and open floodplains.,It has a solitary lifestyle.
Spanador,,,,,
Spanish Goat,,,,"This animal's natural habitat is spain, mexico and and the usa.",
Spanish Mackerel,,,,,It has a nocturnal lifestyle.
Spanish Mastiff,,,"This animal has hair.Its body can be brindle, black, yellow, fawn and red.",,
Spanish Water Dog,,,,,
Sparrow,,40.2335,"This animal has feathers.Its body can be black, yellow, white, blue, brown, tan and grey.",This animal's natural habitat is countryside and woodland.,It has a flock lifestyle.
Sparrowhawk,,80.467,,This animal's natural habitat is forests and woodlands.,
Speckled Kingsnake,,,"This animal has scales.Its body can be black, yellow and white.",,
Speckled Trout,,,"This animal has scales.Its body can be black, white, golden, silver and grey.",This animal's natural habitat is coastal waters.,
Spectacled Bear,,48.2802,"This animal has fur.Its body can be black, white and grey.",This animal's natural habitat is coastal forests and deserts.,It has a solitary lifestyle.
Sperm Whale,,37.01482,This animal's skin is smooth.Its body can be white and grey.,This animal's natural habitat is ocean.,
Sphynx,They can be characterized as sociable.Their aggression level is low.,,This animal has fur.Its body can be multi-colored.,,
Spider Ball Python,,,,,It has a crepuscular and nocturnal lifestyle.
Spider Beetle,They usually live in infestations.Their aggression level is low.,,This animal has an exoskeleton.Its body can be red and brown.,"This animal's natural habitat is indoor food storage spaces such has pantries, food cupboard, warehouses and food processing facilities etc..",It has a nocturnal lifestyle.
Spider Monkey,,56.3269,"This animal has hair.Its body can be black, white, brown and grey.",This animal's natural habitat is tropical jungle and rainforest.,It has a troop lifestyle.
Spider Tailed Horned Viper,,,This animal has scales.Its body can be tan and grey.,,
Spider Wasp,,,"This animal has an exoskeleton.Its body can be orange, black, yellow and blue.","This animal's natural habitat is loose soil, rocks and or rotted wood..",
Spider,,,,,
Spinner Shark,,,"This animal's skin is tough.Its body can be black, light-brown and grey.",This animal's natural habitat is tropical and warm temperate waters.,
Spinone Italiano,,,"This animal has hair.Its body can be orange, white and brown.",,
Spinosaurus,They can be characterized as solitary except during mating season. Their temperament can be characterized as aggressive.Their aggression level is high.,24.1401,,"This animal's natural habitat is north africa, england, spain, portugal, china, thailand and brazil.",It has a solitary lifestyle.
Spiny Bush Viper,They can be characterized as solitary except during mating season.Their aggression level is medium.,,"This animal has scales.Its body can be blue, green and brown.",,It has a nocturnal lifestyle.
Spiny Dogfish,,,"This animal's skin is smooth.Its body can be black, white, brown and grey.",This animal's natural habitat is oceans and seas.,
Spiny Hill Turtle,,4.82802,"This animal has scales.Its body can be orange, beige, red and brown.","This animal's natural habitat is forest, rainforest, mountains and hills.",
Spitting Cobra,,,"This animal has scales.Its body can be black, yellow, green, red, blue, brown, pink and grey.",,
Spixs Macaw,,,,This animal's natural habitat is desert woodlands.,It has a diurnal lifestyle.
Sponge,,,"This animal's skin is porous.Its body can be yellow, green, red, orange, blue and brown.","This animal's natural habitat is oceans, seas and lakes.",It has a sedentary lifestyle.
Spongy Moth 2,,,,"This animal's natural habitat is undersides of leaves, bark and and upright objects.",It has a nocturnal lifestyle.
Spongy Moth,,,,This animal's natural habitat is wooded areas and temperate forests.,"It has a colony, nocturnal and sedentary lifestyle."
Spotted Bass,They usually live in schools and can be characterized as social. Their temperament can be characterized as aggressive.Their aggression level is high.,,This animal has scales.Its body can be multi-colored.,,It has a sedentary lifestyle.
Spotted Gar,,,"This animal has scales.Its body can be black, dull and olive.",This animal's natural habitat is 6.0-8.0.,
Spotted Garden Eel,,,This animal's skin is smooth.Its body can be black and white.,This animal's natural habitat is tropical and subtropical waters near coral reefs.,
Spotted Lanternfly,,,"This animal has an exoskeleton.Its body can be black, yellow, white, red, tan and pink.",This animal's natural habitat is trees.,
Spotted Python,They can be characterized as solitary except during mating season.Their aggression level is low.,,This animal has scales.Its body can be brown and grey.,,It has a nocturnal lifestyle.
Spotted Skunk,"They can be characterized as social, solitary except during mating season and gregarious.Their aggression level is low.",,This animal has fur.Its body can be black and white.,"This animal's natural habitat is forests, riparian hardwood, shrubbery, thickets, and regions with a moving body of water such as streams. they also like tall-grass prairies and rocky zones..",It has a nocturnal lifestyle.
Springador,,,,,
Springbok,,88.5137,"This animal has hair.Its body can be black, white and brown.",This animal's natural habitat is savannas and deserts.,
Springerdoodle,,,"This animal has hair.Its body can be cream, black, white and brown.",,
Squash Bee,They can be characterized as solitary. Their temperament can be characterized as mild.Their aggression level is low.,43.45218,"This animal has an exoskeleton.Its body can be gold, black, yellow, orange, caramel, brown and ginger.",This animal's natural habitat is subterranean burrows nesr squash plants..,It has a diurnal and crepuscular lifestyle.
Squash Beetle,,,This animal has an exoskeleton.Its body can be black and yellow.,"This animal's natural habitat is under plant debris, near buildings, near rocks and and other sheltered places.",
Squid,,28.96812,"This animal's skin is smooth.Its body can be black, white, brown and grey.",This animal's natural habitat is cooler and temperate waters.,It has a solitary lifestyle.
Squirrel Monkey,,35.40548,"This animal has fur.Its body can be black, yellow, olive and grey.",This animal's natural habitat is dense and tropical jungle close to a stream.,It has a diurnal lifestyle.
Squirrel,,25.74944,"This animal has fur.Its body can be black, red, brown, tan and grey.",This animal's natural habitat is woodland and dense forests.,It has a solitary lifestyle.
Squirrelfish,,,This animal has scales.Its body can be silver and red.,This animal's natural habitat is tropical and subtropical reefs.,It has a social lifestyle.
Sri Lankan Elephant,,43.45218,"This animal's skin is leather.Its body can be black, brown and grey.",This animal's natural habitat is rainforest and tropical woodland.,It has a herd lifestyle.
Stabyhoun,,,"This animal has hair.Its body can be orange, black, white and chocolate.",,
Staffordshire Bull Terrier,,,,,
Stag Beetle,,,"This animal has an exoskeleton.Its body can be black, green, red and brown.","This animal's natural habitat is loose soil of deserts, forests, grasslands and and more.",
Standard Schnauzer,,,This animal has hair.Its body can be black and white.,,
Star Nosed Mole,,6.43736,"This animal has hair.Its body can be black, pink and brown.",This animal's natural habitat is marshes and wetlands.,
Starfish,,0.9656039999999999,"This animal's skin is spiky.Its body can be red, orange, blue, brown and grey.",This animal's natural habitat is coral reef.,It has a solitary lifestyle.
Stargazer Fish,They can be characterized as solitary.Their aggression level is high.,,"This animal has scales.Its body can be dark, green, white and brown.",,
Steelhead Salmon,,,This animal has skin.Its body can be purple.,,
Stellers Sea Cow,,,"This animal's skin is smooth.Its body can be black, brown and grey.",This animal's natural habitat is arctic tundra.,It has a herd lifestyle.
Stick Insect,,,"This animal has a shell.Its body can be tan, green, brown and grey.","This animal's natural habitat is forest, jungles and woodland.",
Stiletto Snake,,,"This animal has scales.Its body can be black, white, brown and purple.","This animal's natural habitat is fynbos, karoo scrub, semi-desert, savannahs, grasslands, woodlands and and forests.",
Stingray,,48.2802,This animal has scales.Its body can be brown and grey.,This animal's natural habitat is black and mediterranean seas.,It has a solitary lifestyle.
Stoat,,32.1868,"This animal has fur.Its body can be tan, black, white and brown.",This animal's natural habitat is moorland and woodlands.,It has a solitary lifestyle.
Stone Crab,,,"This animal has an exoskeleton.Its body can be tan, red, brown and grey.",This animal's natural habitat is waters off the florida coast.,
Stonechat,,,"This animal has feathers.Its body can be orange, white, brown and grey.",This animal's natural habitat is shrublands and grasslands.,It has a diurnal lifestyle.
Stonefish,They can be characterized as solitary.Their aggression level is low.,,"This animal's skin is smooth.Its body can be yellow, red, orange, brown and grey.",This animal's natural habitat is coral reefs.,It has a nocturnal lifestyle.
Stoplight Loosejaw,They can be characterized as solitary.Their aggression level is medium.,,This animal's skin is permeable.Its body can be black and grey.,"This animal's natural habitat is 1,700-13,000 feet below sea level.",It has a solitary lifestyle.
Stork,,25.74944,"This animal has feathers.Its body can be black, white and red.","This animal's natural habitat is open grasslands, light woodlands, marshes, wet meadows, rivers and ponds..",
Strawberry Hermit Crab,They can be characterized as social.Their aggression level is low.,,,This animal's natural habitat is tropical and subtropical coastlines.,It has a nocturnal lifestyle.
Striped Bass,,6.43736,"This animal has scales.Its body can be black, green, blue, brown and silver.","This animal's natural habitat is ocean, freshwater rivers and estuaries.",It has a school lifestyle.
Striped Hyena,,8.0467,"This animal has fur.Its body can be black, beige and grey.","This animal's natural habitat is deserts, semi-deserts, woodlands, scrub forests, acacia bushlands, grasslands, tropical savannas and and rocky terrains.",
Striped Rocket Frog,,8.0467,"This animal's skin is permeable.Its body can be tan, black, green and brown.",This animal's natural habitat is woodland swamps and ponds.,It has a solitary lifestyle.
Stromatolite,,,,,
Stupendemys,,,,This animal's natural habitat is wetlands.,
Sturgeon,,,"This animal's skin is smooth.Its body can be black, olive, white and grey.","This animal's natural habitat is oceans, gulfs and lakes.",
Styracosaurus,They usually live in groups and can be characterized as social and sociable.Their aggression level is low.,,This animal's skin is tough.Its body can be light-brown.,This animal's natural habitat is plains and forests.,It has a group and sociable lifestyle.
Suchomimus,,,,,
Sucker Fish,,,,This animal's natural habitat is freshwater streams and lakes.,
Sugar Glider,,,"This animal has fur.Its body can be black, white and grey.",This animal's natural habitat is forest and woodlands.,
Sulcata Tortoise,,0.48280199999999995,This animal has a hard shell.Its body can be yellow and brown.,This animal's natural habitat is desert and dry savanna.,
Sultan Chicken,They usually live in flocks.Their aggression level is low.,,This animal has feathers.Its body can be white.,This animal's natural habitat is only captivity.,It has a flock lifestyle.
Sumatran Elephant,,43.45218,"This animal's skin is leather.Its body can be black, brown and grey.",This animal's natural habitat is rainforest and tropical woodland.,It has a herd lifestyle.
Sumatran Orangutan,,4.345218,"This animal has hair.Its body can be orange, red, brown and grey.",This animal's natural habitat is dense and tropical forest.,It has a diurnal lifestyle.
Sumatran Rhinoceros,,48.2802,"This animal's skin is leather.Its body can be black, brown and grey.","This animal's natural habitat is tropical bushland, grassland and savannas.",It has a solitary lifestyle.
Sumatran Tiger,,96.5604,"This animal has fur.Its body can be orange, black and white.",This animal's natural habitat is dense tropical forest.,It has a solitary lifestyle.
Summer Tanager,,,"This animal has feathers.Its body can be yellow, green and red.",This animal's natural habitat is dry and open forests.,It has a diurnal lifestyle.
Sun Bear,,48.2802,"This animal has fur.Its body can be black, yellow, white, red, orange, brown and grey.",This animal's natural habitat is primarily and lowland tropical forests.,It has a diurnal and nocturnal lifestyle.
Sunbeam Snake,,,,,It has a nocturnal lifestyle.
Sunset Ball Python,They can be characterized as solitary except during mating season.Their aggression level is low.,,"This animal has scales.Its body can be chocolate, peach, red, orange, golden and brown.",,It has a nocturnal lifestyle.
Super Pastel Ball Python,"They can be characterized as solitary. Their temperament can be characterized as docile, curious and hardy.Their aggression level is low.",,"This animal has scales.Its body can be gold, beige, yellow, chocolate, dark, brown, tan, grey-brown and grey.","This animal's natural habitat is savanna, grassland and forests.",It has a nocturnal lifestyle.
Supersaurus,They usually live in herds.Their aggression level is low.,,,,
Superworm,,,This animal has an exoskeleton.Its body can be cream and light-brown.,"This animal's natural habitat is decaying vegetation, tree bark and and leaves.",It has a nocturnal lifestyle.
Surgeonfish,,,,,
Sussex Chicken,They usually live in flocks.Their aggression level is low.,,This animal has feathers.Its body can be black and white.,This animal's natural habitat is the ground.,It has a diurnal lifestyle.
Swai Fish,,,This animal has scales.Its body can be silver and beige.,This animal's natural habitat is rivers.,
Swainsons Hawk 2,,,"This animal has feathers.Its body can be red, brown and grey.","This animal's natural habitat is grasslands, savannas and plains.",It has a diurnal lifestyle.
Swallow,,,"This animal has feathers.Its body can be chestnut, green, white and blue.",This animal's natural habitat is open grasslands and woodlands.,It has a diurnal lifestyle.
Swallowtail Butterfly,"They can be characterized as solitary. Their temperament can be characterized as docile, solitary and males aggressive when defending territory or mating.Their aggression level is medium.",,"This animal has an exoskeleton.Its body can be black, yellow, chocolate, fawn, dark, white, orange, blue, brown, tan, cream and grey.",This animal's natural habitat is worldwide except antarctica.,It has a diurnal and solitary lifestyle.
Swallowtail Caterpillar,They can be characterized as solitary. Their temperament can be characterized as docile and solitary.Their aggression level is low.,,"This animal has an exoskeleton.Its body can be black, yellow, green, white and brown.","This animal's natural habitat is swallowtail caterpillars live n a variety of different habitats, including meadows, forests and and gardens..",It has a diurnal and solitary lifestyle.
Swan,,80.467,"This animal has feathers.Its body can be orange, black, white and grey.","This animal's natural habitat is large, shallow wetlands and open water.",It has a flock lifestyle.
Swedish Elkhound,"They usually live in packs. Their temperament can be characterized as outgoing, adventurous but can also be calm and laid back.Their aggression level is low.",,"This animal has fur.Its body can be light, dark and grey.",This animal's natural habitat is arctic climates.,It has a pack lifestyle.
Swedish Lapphund,"They usually live in packs. Their temperament can be characterized as lively, alert, active, intelligent and affectionate.Their aggression level is low.",,"This animal has hair.Its body can be black, white and brown.",,It has a pack lifestyle.
Swedish Vallhund,,,"This animal has hair.Its body can be yellow, dark, blue, brown and grey.",,
Swordfish,They can be characterized as solitary.Their aggression level is medium.,96.5604,"This animal's skin is smooth.Its body can be light, dark, white, silver and grey.",This animal's natural habitat is pelagic water.,It has a solitary lifestyle.
Syrian Hamster,,,This animal has fur.Its body can be gold.,"This animal's natural habitat is plateaus, steppes, sand dunes and edges of deserts.",
Taco Terrier,,,"This animal has hair.Its body can be black, chocolate, white, red, blue and tan.",,
Tailless Whip Scorpion,They usually live in groups and can be characterized as solitary.Their aggression level is low.,,,"This animal's natural habitat is temperate and tropical scrub forests
                
                all over the world.",It has a nocturnal lifestyle.
Taimen Fish,,,"This animal has scales.Its body can be green, white, red, olive, brown and silver.",,
Taipan,,,"This animal has scales.Its body can be black, green, light-brown, brown, tan and grey.","This animal's natural habitat is deserts, floodplains, grasslands, savanna woodland and cane fields.",
Takin,,,"This animal has hair.Its body can be gold, black, yellow, white, brown and grey.",This animal's natural habitat is alpine mountains and valleys.,
Tamarin,They usually live in troops.Their aggression level is low.,,"This animal has hair.Its body can be gold, black, dark, green, white, red, light-brown, orange, olive-grey, brown, grey-brown and grey.",This animal's natural habitat is tropical forests.,It has a diurnal lifestyle.
Tamaskan,,,"This animal has hair.Its body can be black, fawn, white, brown and grey.",,
Tang,,,"This animal has scales.Its body can be black, yellow, white, red, purple, black-brown, orange, blue and silver.",This animal's natural habitat is coral reefs and open ocean.,
Tangerine Leopard Gecko,They can be characterized as solitary except during mating season.Their aggression level is low.,,"This animal has scales.Its body can be black, white, orange, cream and grey.",,It has a crepuscular and nocturnal lifestyle.
Tapanuli Orangutan,,4.345218,"This animal has hair.Its body can be black, red, orange, brown and grey.",This animal's natural habitat is tropical and subtropical broadleaf forests.,It has a diurnal lifestyle.
Tapir,,48.2802,"This animal has hair.Its body can be black, white, red, brown and grey.","This animal's natural habitat is grasslands, swamps, mountains and forests..",It has a solitary lifestyle.
Tarantula Hawk,,,This animal has a shell.Its body can be orange and black.,"This animal's natural habitat is desert scrub, rainforests, grassland and open arid or semi-arid locations.",
Tarantula,They can be characterized as solitary.Their aggression level is low.,,This animal has an exoskeleton.Its body can be multi-colored.,"This animal's natural habitat is savannas, grasslands, pampas, rainforests, deserts, mountains and and scrublands.","It has a crepuscular, nocturnal and solitary lifestyle."
Tarbosaurus,They can be characterized as mainly solitary.Their aggression level is medium.,40.2335,,This animal's natural habitat is flood plainlands.,
Tarpon,,,"This animal has scales.Its body can be silver, black, green and blue.","This animal's natural habitat is bays, mangrove lagoons and coastal waters.",
Tarsier,,38.62416,"This animal has fur.Its body can be golden, brown and grey.","This animal's natural habitat is forests, mangroves and scrub.",It has a nocturnal lifestyle.
Tasmanian Devil,,24.1401,"This animal has fur.Its body can be black, white, brown and grey.",This animal's natural habitat is forest underbrush.,It has a solitary lifestyle.
Tasmanian Tiger Snake,They can be characterized as solitary except during mating season.Their aggression level is high.,,"This animal has scales.Its body can be black, yellow and brown.","This animal's natural habitat is near dams, lagoons, creeks, swamps and or wetlands.",It has a diurnal and nocturnal lifestyle.
Tasmanian Tiger,,,"This animal has fur.Its body can be tan, dark and brown.","This animal's natural habitat is grasslands, forests and rainforests.",
Tawny Frogmouth,They usually live in pairs. Their temperament can be characterized as still.Their aggression level is low.,,This animal has feathers.Its body can be grey.,"This animal's natural habitat is eucalyptus forests, acacia shrublands, woodlands, heathlands and savannas.","It has a pair, crepuscular and nocturnal lifestyle."
Tawny Mining Bee,They usually live in colonial nests and can be characterized as solitary. Their temperament can be characterized as mild.Their aggression level is low.,,"This animal has an exoskeleton.Its body can be gold, black, yellow, dark, red, orange and brown.","This animal's natural habitat is woodlands, meadows, hedgerows and gardens.",It has a diurnal lifestyle.
Tawny Owl,,80.467,"This animal has feathers.Its body can be black, white, brown, tan and grey.",This animal's natural habitat is dense forest and open woodland.,It has a solitary lifestyle.
Teacup Chihuahua,"They usually live in packs. Their temperament can be characterized as frisky, curious and loyal.Their aggression level is medium.",,"This animal has hair.Its body can be gold, black, white, brown and tan.",,It has a pack lifestyle.
Teacup Maltese,"They usually live in packs. Their temperament can be characterized as fun, loving and gentle.Their aggression level is low.",,This animal has hair.Its body can be white.,,It has a pack lifestyle.
Teacup Miniature Horse,,,This animal has fur.Its body can be multi-colored.,This animal's natural habitat is pastures.,It has a diurnal lifestyle.
Teacup Poodle,"They usually live in packs. Their temperament can be characterized as intelligent, fun and people loving.Their aggression level is low.",,"This animal has hair.Its body can be black, dark, white, red, blue, brown, cream, silver and grey.",,It has a pack lifestyle.
Teddy Bear Hamster,,,"This animal has fur.Its body can be gold, black, dark, white, golden, brown, cream, white-brown and grey.",This animal's natural habitat is cage and aquarium.,
Teddy Guinea Pig,They usually live in herds and can be characterized as social and sociable. Their temperament can be characterized as friendly.Their aggression level is low.,,This animal has fur.Its body can be multi-colored.,,"It has a herd, social and crepuscular lifestyle."
Teddy Roosevelt Terrier,,,"This animal has hair.Its body can be tan, black and white.",,
Telescope Fish,,,This animal has scales.Its body can be green and blue.,This animal's natural habitat is deep sea depths of world oceans.,
